RA,Nome,Ano,Idade,Genero,Ano_ingresso,Anos_na_PM,Instituicao_ensino,Fase_raw,Fase_num,Turma,Pedra,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Nota_Mat,Nota_Por,Nota_Ing,Fase_ideal_raw,Fase_ideal_num,Defasagem,Categoria_Defasagem,Indicado_bolsa,Atingiu_PV,Rec_Psicologia
RA-1464,Aluno-1464,2024,13,Feminino,2024,0.0,Pública,2D,2,2D,Ametista,7.288424359,5.0,6.25,7.794871795,8.002,7.51,9.0625,7.61,4.0,8.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1465,Aluno-1465,2024,12,Masculino,2024,0.0,Pública,2D,2,2D,Ametista,7.3344666666,5.0,5.75,8.75,7.418,7.51,8.75,7.833333333,5.0,6.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1466,Aluno-1466,2024,12,Masculino,2024,0.0,Pública,2D,2,2D,Topázio,8.213723809600001,10.0,7.5,7.380952381,10.002,7.51,8.75,8.056666667,7.0,8.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1467,Aluno-1467,2024,12,Masculino,2024,0.0,Pública,2D,2,2D,Topázio,8.836711278200001,10.0,9.25,9.022556391,9.002,7.51,8.75,8.28,9.0,9.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1468,Aluno-1468,2024,12,Feminino,2024,0.0,Pública,2D,2,2D,Topázio,8.1281028822,10.0,7.0,8.972431078,8.502,7.51,8.4375,7.443333333,4.5,9.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1469,Aluno-1469,2024,13,Masculino,2024,0.0,Pública,2D,2,2D,Ametista,7.459755555500001,5.0,4.75,9.4444444445,8.502,7.51,8.75,8.223333333,6.0,3.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-147,Aluno-147,2022,14,Feminino,2022,0.0,Escola Pública,4,4,H,Ametista,7.541,10.0,6.1,7.7,8.3,7.5,,7.25,5.8,4.8,7.7,Fase 4 (9º ano),4.0,0,Em fase,False,False,Não atendido
RA-147,Aluno-147,2023,15,Feminino,2022,1.0,Pública,FASE 4,4,4F,Quartzo,5.5425,5.0,4.5,7.0,0.0,5.63,6.875,7.46,5.0,6.0,2.5,Fase 5 (1° EM),5.0,-1,Moderada,,,
RA-147,Aluno-147,2024,16,Feminino,2022,2.0,Pública,5F,5,5F,Ametista,7.400477922133334,5.0,6.166666666666667,9.277056277,8.334,7.51,7.5,7.386666667,6.0,2.5,10.0,Fase 6 (2° EM),6.0,-1,Moderada,,,
RA-1470,Aluno-1470,2024,12,Feminino,2024,0.0,Pública,2G,2,2G,Quartzo,5.967421532000001,5.0,5.0,6.35610766,8.002,6.26,6.875,5.4125,5.0,5.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1471,Aluno-1471,2024,13,Masculino,2024,0.0,Pública,2G,2,2G,Ametista,7.404455434800001,5.0,7.5,7.195652174,10.002,7.51,7.65625,7.2425,8.0,7.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1472,Aluno-1472,2024,11,Masculino,2022,2.0,Pública,2G,2,2G,Topázio,8.773575000000001,10.0,8.75,10.0,8.502,7.51,7.96875,8.1275,9.0,8.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1473,Aluno-1473,2024,13,Masculino,2024,0.0,Pública,2G,2,2G,Ágata,6.689320600500001,5.0,5.25,8.4368530025,9.502,5.625,6.5625,6.415,6.0,4.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1474,Aluno-1474,2024,11,Feminino,2024,0.0,Pública,2H,2,2H,Ametista,7.384207505200001,10.0,7.5,7.960662526,8.002,5.625,6.71875,6.2875,7.0,8.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1475,Aluno-1475,2024,10,Feminino,2024,0.0,Pública,2I,2,2I,Ametista,7.413901754400001,10.0,5.0,8.070175439,9.002,7.51,7.5,6.993333333,7.0,3.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1476,Aluno-1476,2024,11,Feminino,2024,0.0,Pública,2K,2,2K,Topázio,8.80795,10.0,8.5,10.0,9.502,5.635,8.4375,8.7525,8.0,9.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
